movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,star,votes,gross(in $),normalized_rating
tt1134671,No Time to Fear,2009,Unknown,0,Sci-Fi,3.3,Friends encounter an evil spirit that assumes the form of its prey.,Michael Korbic,"James DeBello, 
Francesca Cecil, 
Louis Mandylor, 
Daniel Kountz",148.0,0.0,0.32999999999999996
tt21060154,Sha chu zhu luo ji,2020,Unknown,70,Sci-Fi,0.0,Add a Plot,Xin Wang,"Wanzhong Wang, 
Li Ning, 
Beige Liu, 
Rui Zhou",0.0,0.0,0.0
tt7724770,Disruption,2019,Unknown,62,Sci-Fi,3.1,A couple fights for their lives when their new car unexpectedly breaks down on a deserted Detroit street.,Roshaun Akeem Page,"Carl Daniel III, 
Starleesha Turnbull, 
William C. Fox, 
Torrell Windom Jr.",89.0,0.0,0.31
tt6529718,Frank's Deep Fake,2019,Unknown,52,Sci-Fi,0.0,An ex-military engineer creates public-service announcements from a country home at the command of a mysterious shadow organization. His surreal awakening comes when he learns that he is ...                See full summary »,Jason Corgan Brown,"Violet Paley, 
Jeter Rhodes, 
Scott Gillies",0.0,0.0,0.0
tt5205816,Axiome,2015,Unknown,48,Sci-Fi,4.7,"In a mysterious city, a young man's life begins to unravel when some extraterrestrial life form is discovered in space and connects with the questions he's always been asking himself.",Geoffrey Crété,"Jeangaël Ferry, 
Sarah Denys, 
Anne Beaumond, 
Alexandre Foin",11.0,0.0,0.47000000000000003
tt12624888,If Cain Were Able,2017,Unknown,210,Sci-Fi,0.0,"A deadly virus forces humanity to question their convictions, uncover buried truths, and learn secrets that could destroy the very fabric of humanity as we know it. The wrong choice could cost them their lives.",Jonathan Poku,"Monika Lukasik, 
Samantha Okanlawon, 
Melita Cameron-Wood, 
Serena Joseph",0.0,0.0,0.0
tt4813466,Interloper,0,Unknown,0,Sci-Fi,0.0,Add a Plot,Unknown,Unknown,0.0,0.0,0.0
tt2328691,Nervo Craniano Zero,2012,Unknown,88,Sci-Fi,6.1,"Bruna Bloch, a successful writer, hires her former boyfriend to experiment a creativity inducing brain chip called Melpomene(the Greek muse of tragedy). Before trying on herself, they use ...                See full summary »",Paulo Biscaia Filho,"Guenia Lemos, 
Uyara Torrente, 
Leandro Daniel, 
Luiz Bertazzo",115.0,0.0,0.61
tt13728592,The Xenophobes,0,Unknown,0,Sci-Fi,0.0,Add a Plot,"Penny Cullers, 
Hal Dace","Svetlana Tulasi, 
Ali Stolar, 
Thomas Smith, 
Mor Ben Haim",0.0,0.0,0.0
tt1380078,Den rozhdeniya Alisy,2009,Unknown,80,Sci-Fi,5.6,Alice joins an expedition to an alien planet which destroyed by space plague. Using a time-traveling device she goes back to the past to the day when the plague was brought in by a space expedition and tries to save it from destruction.,Sergey Seryogin,"Yaroslava Nikolaeva, 
Aleksey Kolgan, 
Roman Staburov, 
Evgeniy Stychkin",206.0,0.0,0.5599999999999999
